Nama Pelanggan,Produk,Ulasan,Rating
A***i,Hana Fashion - Nagita Set Strap Midi Dress With Cardigan - ST155,Sesuai deskripsi dan gambar. Terima kasih,5
Niko,HanaFashion - Kharen T-shirt Knit / Kaos Crop Wanita Korea - TS478,"Terlalu Kecil utk ukuran L, gak bsa dipakai barangnya juga.",1
S***l,HanaFashion - Bona T-shirt Wanita / Kaos Wanita Gaya Korea - TS421,Bahannya tdk melar dan kasar,3
Adhitama,HanaFashion - Anya Mini Skirt / Rok Pendek Wanita Murah - SK171,bahan tipis. standar aja,4
truly,HanaFashion - Woori Blue Jeans Long Pants - JLP043,Ukurannya pas Tinggi badan 161 - 170 cm Berat badan 61 - 70 kg,4
