Nama Pelanggan,Produk,Ulasan,Rating
Mitha,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL",p,3
P***u,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL",Bahan tipis sesuai harga :),2
e***h,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL","Les tepi kain bagian kiri dan kanannya keriting-keriting. Apalagi yang di dekat ketiak, kecewa abis. Gak tau apakah cuttingnya yg salah atau bekas barang return.",1
e***h,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL","Ukuran cropnya agak aneh ya. Terpaksa harus dimodifikasi ulang karena kain di lingkaran bagian ketiaknya kebesaran (longgar) sedangkan bagian dada dan badan pas. 

Kainny...",1
T***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL","Kalo dagang itu yg jujur ya kk. Jangan bisanya ngadain flashsale, harga dimurah2 kan untuk menarik pembeli. Ehhh ujung2 nya orderan di cuekin tidak dikirim. Ini namanya p...",1
Tina,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL","Penjual yg tdk profesional, tidak bertanggungjawab. Penipu. Adakan flash sale dengan harga miring tapi ternyata pesanan tidak dikirim2. Barang tidak pernah dikirim, nomor...",1
Diamond,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL","sangat pendek, tdk spt gambar",3
M,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL","toko sp4m puluhan kali ke pembeli, kirim lama,barang kecil.dikasih bintang yg wajar malah maksa harus bintang 4 atau 5.tiap hari sp4m ke 4kun saya dan wa.sekalian saya ub...",1
Indah,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL",coba aja tanya kesel,1
L***y,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL",Barang tidak lengkap dan proses pengembalian dana lambat/ kurang respon,3
R***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL",Baju kaya anak kecil masa ukuran M yang bener aja,2
So,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL","Lumayan, order size M tp kayak size XS",3
Dede,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL",Yg dtg ujurannya lbh kecil dr yg tertulis,1
Awish,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL",proses pesanan nya cukup lama ya .. order tgl 2 Januari baru di proses  kirim tgl 6 Januari sampe di tempat tgl 7,3
sellynaaaa,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL",￼,3
p***p,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL",pesan xxl dikirim xl,1
katrina,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL",toko culun,1
Novie,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL",Kecil bgt astaga kaya ukuran anak bocah,2
D***y,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL",Ttyt,2
y***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL","barangnya tipis,pengirimannya lama banget,waktu kemasnya aja 3 hari belum kirim ke sumatera4 hari,untk harga 31ribu dengan kain tipis seperti ini sy rasa kemahalan",3
N***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL",stock kosong dan ga diinfo akhr nya di refund.. proses packing super duper lama,1
David,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Royal Blue, XXL",beda cover beda isinya,1
P***u,Produk tidak ditemukan,Bahan tipis sesuai harga :),2
e***h,Produk tidak ditemukan,"Les tepi kain bagian kiri dan kanannya keriting-keriting. Apalagi yang di dekat ketiak, kecewa abis. Gak tau apakah cuttingnya yg salah atau bekas barang return.",1
e***h,Produk tidak ditemukan,"Ukuran cropnya agak aneh ya. Terpaksa harus dimodifikasi ulang karena kain di lingkaran bagian ketiaknya kebesaran (longgar) sedangkan bagian dada dan badan pas. 

Kainny...",1
T***a,Produk tidak ditemukan,"Kalo dagang itu yg jujur ya kk. Jangan bisanya ngadain flashsale, harga dimurah2 kan untuk menarik pembeli. Ehhh ujung2 nya orderan di cuekin tidak dikirim. Ini namanya p...",1
Tina,Produk tidak ditemukan,"Penjual yg tdk profesional, tidak bertanggungjawab. Penipu. Adakan flash sale dengan harga miring tapi ternyata pesanan tidak dikirim2. Barang tidak pernah dikirim, nomor...",1
Diamond,Produk tidak ditemukan,"sangat pendek, tdk spt gambar",3
M,Produk tidak ditemukan,"toko sp4m puluhan kali ke pembeli, kirim lama,barang kecil.dikasih bintang yg wajar malah maksa harus bintang 4 atau 5.tiap hari sp4m ke 4kun saya dan wa.sekalian saya ub...",1
Indah,Produk tidak ditemukan,coba aja tanya kesel,1
