Nama Pelanggan,Produk,Ulasan,Rating
N***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","biasa aja, malahan ada barang saya di batalin, pengiriman sangat amat lemot kalo ngga di kasih tau pakai sameday mungkin ga bakal di kirim""",3
T***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","kurangajar penjualnya, chatroom dibalas dibilangnya gak respon👎👎👎",1
Caroline,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",pengiriman nya super lamaaaaa,2
BeningLara,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","bahan ga bagus,",3
Siska,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","sesuai dg harga , bahan agak tipis, model lumayan.thx",3
Erizal,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Bahan biasa saja,1
Tami,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Menerawang dan kasar,3
s***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Pesen apa dikirim apa.. mana yg dikirim harga jauh lbh murah, kirimnya lamaa bgt, pas complain ga diselesaiin cuma suruh tunggu ya udah rate jelek aja. Udh di warning jg...",1
Nabila,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","terima kasih. masukan utk seller, apabila ada kendala disampaikan ke pembeli shg pembeli jg tau dan tdk menunggu tanpa kepastian.",3
Meilani,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Pengiriman lama dan slow response.,3
